Book,Classification,Approximate Date_BCE,Notes
Genesis,EBH,10th - 7th,Pre-exilic core, possible P redaction
Exodus,EBH,10th - 7th,Pre-exilic core, possible P edits
Leviticus,EBH (minor TH),10th - 7th,Pre-exilic P source, minor exilic redaction
Numbers,EBH (minor TH),10th - 7th,Pre-exilic P source, minor exilic redaction
Joshua,EBH,10th - 7th,Pre-exilic tribal history
Judges,EBH,11th - 10th,Pre-exilic traditions
Samuel (1 & 2),EBH,10th - 7th,Pre-exilic core
Kings (1 & 2),EBH,7th,Pre-exilic compilation
Amos,EBH,8th,Pre-exilic
Hosea,EBH,8th,Pre-exilic
Micah,EBH,8th,Pre-exilic
Nahum,EBH,7th,Pre-exilic
Habakkuk,EBH,7th,Pre-exilic
Zephaniah,EBH,7th,Pre-exilic
Obadiah,EBH,6th,Pre-exilic core, exilic redaction
Isaiah-1-39,EBH,8th - 7th,Proto-Isaiah, pre-exilic core
Isaiah-40-55,Mixed EBH/LBH,6th,Deutero-Isaiah, exilic transition
Isaiah-56-66,LBH,5th - 4th,Trito-Isaiah, post-exilic redaction
Jeremiah-1-25,EBH,7th,Pre-exilic core
Jeremiah-26-29,Mixed EBH/LBH,6th,Exilic transition
Jeremiah-34-45,Mixed EBH/LBH,6th,Exilic transition
Jeremiah-46-51,Mixed EBH/LBH,6th,Exilic transition
Jeremiah-30-33,LBH,5th - 4th,Post-exilic redaction (esp. 33:14-26)
Jeremiah-52,LBH,5th - 4th,Post-exilic appendix
Psalms-1-89,EBH,10th - 6th,Early EBH core
Psalms-90-106,Mixed EBH/LBH,6th,Exilic transition
Psalms-107-150,LBH,5th - 4th,Post-exilic compilation
Joel-1-2:17,EBH,6th,Pre-exilic core
Joel-2:18-3:21,Mixed EBH/LBH,4th,Post-exilic edit
Ezekiel-1-24,EBH,6th,Pre-exilic core
Ezekiel-25-37,Mixed EBH/LBH,6th,Exilic transition
Ezekiel-38-48,LBH,5th - 4th,Post-exilic expansion
Job-1-31,EBH,7th,Pre-exilic core
Job-32-41,Mixed EBH/LBH,6th - 5th,Post-exilic transition
Job-42,LBH,5th - 4th,Post-exilic frame
Jonah-1-2,EBH,8th,Pre-exilic narrative
Jonah-3-4,Mixed EBH/LBH,5th - 4th,Post-exilic moral
Chronicles (1 & 2),LBH,4th - 3rd,Post-exilic
Ezra-Nehemiah,LBH,5th - 4th,Post-exilic
Esther,LBH,4th - 3rd,Post-exilic
Daniel,LBH,2nd,Post-exilic, Maccabean
Ecclesiastes,LBH,3rd - 2nd,Post-exilic
Song of Songs,LBH,3rd,Post-exilic
Haggai,LBH,6th,Post-exilic
Zechariah (1-8),LBH,6th - 5th,Post-exilic
Zechariah (9-14),LBH,5th - 4th,Post-exilic
Malachi,LBH,5th - 4th,Post-exilic
